Date,Site,Transect #,Transect Meter Mark,Latitude,Longitude,Time Taken,Dead Shell? (Y/N),Species,Length (straight) (cm),Orientation of Clam,Orientation of Shore,Transect Start Loc,Transect End Loc,Density
25-10-25,Harbour,9,2.5,23° 26’ 35.148” S,151° 54’ 38.202” E,5:21,n,maxima,18.9,220,,"Latitude: 23° 26’ 35.058” S, Longitude: 151° 54’ 38.082” E",,5.6
25-10-25,Harbour,9,2.7,23° 26’ 35.136” S,151° 54’ 38.202” E,5:22,n,maxima,13.5,220,,"Latitude: 23° 26’ 35.058” S, Longitude: 151° 54’ 38.082” E",,5.6
25-10-25,Harbour,9,2.6,N/A,N/A,5:25,n,maxima,18.7,220,,"Latitude: 23° 26’ 35.058” S, Longitude: 151° 54’ 38.082” E",,5.6
25-10-25,Harbour,9,2.8,23° 26’ 35.178” S,151° 54’ 38.142” E,5:27,n,maxima,17.4,240,,"Latitude: 23° 26’ 35.058” S, Longitude: 151° 54’ 38.082” E",,5.6
25-10-25,Harbour,9,19,23° 26’ 35.472” S,151° 54’ 37.962” E,5:32,n,maxima,19.1,320,,"Latitude: 23° 26’ 35.058” S, Longitude: 151° 54’ 38.082” E",,5.6
25-10-25,Harbour,9,29.8,23° 26’ 35.73” S,151° 54’ 37.83” E,5:36,n,maxima,15.6,240,,"Latitude: 23° 26’ 35.058” S, Longitude: 151° 54’ 38.082” E",,5.6
25-10-25,Harbour,9,29.9,23° 26’ 35.76” S,151° 54’ 37.872” E,5:36,n,maxima,22.7,220,,"Latitude: 23° 26’ 35.058” S, Longitude: 151° 54’ 38.082” E",,5.6
25-10-25,Harbour,9,27.5,23° 26’ 35.862” S,151° 54’ 37.62” E,5:41,n,maxima,13.4,160,,"Latitude: 23° 26’ 35.058” S, Longitude: 151° 54’ 38.082” E",,5.6
25-10-25,Harbour,9,27.5,23° 26’ 35.772” S,151° 54’ 37.866” E,5:44,n,maxima,12.6,300,,"Latitude: 23° 26’ 35.058” S, Longitude: 151° 54’ 38.082” E",,5.6
25-10-25,Harbour,9,28,N/A,N/A,5:44,n,maxima,21.9,240,,"Latitude: 23° 26’ 35.058” S, Longitude: 151° 54’ 38.082” E",,5.6
25-10-25,Harbour,9,6,23° 26’ 35.058” S,151° 54’ 38.01” E,5:11,n,maxima,27.8,155,,"Latitude: 23° 26’ 35.058” S, Longitude: 151° 54’ 38.082” E",,5.6
25-10-25,Harbour,9,6.1,23° 26’ 35.088” S,151° 54’ 37.878” E,5:14,n,maxima,27.3,250,,"Latitude: 23° 26’ 35.058” S, Longitude: 151° 54’ 38.082” E",,5.6
25-10-25,Harbour,9,6.4,23° 26’ 35.106” S,151° 54’ 38.076” E,5:16,n,maxima,26.4,290,,"Latitude: 23° 26’ 35.058” S, Longitude: 151° 54’ 38.082” E",,5.6
25-10-25,Harbour,9,6.5,23° 26’ 35.136” S,151° 54’ 38.046” E,5:18,n,maxima,19.2,280,,"Latitude: 23° 26’ 35.058” S, Longitude: 151° 54’ 38.082” E",,5.6
25-10-25,Harbour,9,6.6,23° 26’ 35.118” S,151° 54’ 37.998” E,5:20,n,maxima,24.8,210,,"Latitude: 23° 26’ 35.058” S, Longitude: 151° 54’ 38.082” E",,5.6
25-10-25,Harbour,9,6.5,23° 26’ 35.136” S,151° 54’ 37.98” E,5:22,n,maxima,28.2,350,,"Latitude: 23° 26’ 35.058” S, Longitude: 151° 54’ 38.082” E",,5.6
25-10-25,Harbour,9,19.2,23° 26’ 35.496” S,151° 54’ 37.938” E,5:25,n,maxima,30.3,219,,"Latitude: 23° 26’ 35.058” S, Longitude: 151° 54’ 38.082” E",,5.6
25-10-25,Harbour,9,19.5,23° 26’ 35.496” S,151° 54’ 37.896” E,5:28,n,maxima,n/a,230,,"Latitude: 23° 26’ 35.058” S, Longitude: 151° 54’ 38.082” E",,5.6
25-10-25,Harbour,9,20,23° 26’ 35.484” S,151° 54’ 37.896” E,5:28,n,maxima,23.8,160,,"Latitude: 23° 26’ 35.058” S, Longitude: 151° 54’ 38.082” E",,5.6
25-10-25,Harbour,9,22.4,23° 26’ 35.592” S,151° 54’ 37.86” E,5:30,n,maxima,4.6,230,,"Latitude: 23° 26’ 35.058” S, Longitude: 151° 54’ 38.082” E",,5.6
25-10-25,Harbour,9,23.9,23° 26’ 35.58” S,151° 54’ 37.776” E,5:31,n,maxima,21,100,,"Latitude: 23° 26’ 35.058” S, Longitude: 151° 54’ 38.082” E",,5.6
25-10-25,Harbour,9,35,23° 26’ 36” S,151° 54’ 37.71” E,5:35,n,maxima,29.2,155,,"Latitude: 23° 26’ 35.058” S, Longitude: 151° 54’ 38.082” E",,5.6
25-10-25,Harbour,9,42,23° 26’ 36.438” S,151° 54’ 37.368” E,5:37,n,maxima,19.6,220,,"Latitude: 23° 26’ 35.058” S, Longitude: 151° 54’ 38.082” E",,5.6
25-10-25,Harbour,9,50,23° 26’ 36.492” S,151° 54’ 37.446” E,5:40,n,maxima,30,220,,"Latitude: 23° 26’ 35.058” S, Longitude: 151° 54’ 38.082” E",,5.6
26-10-25,Shark Bay,10,0.1,N/A,,3:53,n,maxima,22.7,110,,,,1
26-10-25,Shark Bay,10,3.5,N/A,,3:59,n,maxima,11.3,200,,,,1
26-10-25,Shark Bay,10,15.2,N/A,,4:02,n,maxima,16.8,140,,,,1
26-10-25,Shark Bay,10,17.6,N/A,,4:05,n,maxima,14.3,160,,,,1
26-10-25,Shark Bay,10,26.5,N/A,,4:09,n,maxima,18.2,20,,,,1
26-10-25,Shark Bay,11,0.2,N/A,,3:54,n,maxima,10.5,140,,,"23° 26' 37.44"" S, 151° 55' 9.264"" E",2.2
26-10-25,Shark Bay,11,1,N/A,,4:02,n,maxima,9,155,,,"23° 26' 37.44"" S, 151° 55' 9.264"" E",2.2
26-10-25,Shark Bay,11,2.4,N/A,,4:04,n,maxima,10.4,150,,,"23° 26' 37.44"" S, 151° 55' 9.264"" E",2.2
26-10-25,Shark Bay,11,14.2,N/A,,4:12,n,maxima,20.7,155,,,"23° 26' 37.44"" S, 151° 55' 9.264"" E",2.2
26-10-25,Shark Bay,11,27.6,N/A,,4:18,n,crocea,16.5,134,,,"23° 26' 37.44"" S, 151° 55' 9.264"" E",2.2
26-10-25,Shark Bay,11,31.05,"23° 26' 37.842"" S","151° 55' 9.558"" E",4:21,n,maxima,15,195,,,"23° 26' 37.44"" S, 151° 55' 9.264"" E",2.2
26-10-25,Shark Bay,11,34,"23° 26' 37.98"" S","151° 55' 9.564"" E",4:24,n,maxima,18.4,210,,,"23° 26' 37.44"" S, 151° 55' 9.264"" E",2.2
26-10-25,Shark Bay,11,31,"23° 26' 38.142"" S","151° 55' 9.216"" E",4:27,n,maxima,7.8,255,,,"23° 26' 37.44"" S, 151° 55' 9.264"" E",2.2
26-10-25,Shark Bay,11,37.7,"23° 26' 38.082"" S","151° 55' 9.552"" E",4:31,n,maxima,10.7,208,,,"23° 26' 37.44"" S, 151° 55' 9.264"" E",2.2
26-10-25,Shark Bay,11,42.5,"23° 26' 41.94"" S","151° 55' 6.792"" E",4:34,n,maxima,11,155,,,"23° 26' 37.44"" S, 151° 55' 9.264"" E",2.2
26-10-25,Shark Bay,11,45.9,23° 26’ 39.594” S,151° 55’ 8.598” E,4:35,n,maxima,9.82,100,,,"23° 26' 37.44"" S, 151° 55' 9.264"" E",2.2
27-10-25,Shark Bay,12,1.9,N/A,N/A,6:29,n,crocea,12.2,130,,"23° 26' 40.386"" S, 151° 55' 5.952"" E","23° 26' 41.832"" S, 151° 55' 6.258"" E",1.8
27-10-25,Shark Bay,12,6.85,"23° 26' 40.398"" S","151° 55' 5.61"" E",6:36,n,maxima,16.8,64,,"23° 26' 40.386"" S, 151° 55' 5.952"" E","23° 26' 41.832"" S, 151° 55' 6.258"" E",1.8
27-10-25,Shark Bay,12,7.5,"23° 26' 40.506"" S","151° 55' 5.538"" E",6:36,n,maxima,9.5,90,,"23° 26' 40.386"" S, 151° 55' 5.952"" E","23° 26' 41.832"" S, 151° 55' 6.258"" E",1.8
27-10-25,Shark Bay,12,7.8,"23° 26' 40.506"" S","151° 55' 5.538"" E",6:37,n,maxima,11.9,166,,"23° 26' 40.386"" S, 151° 55' 5.952"" E","23° 26' 41.832"" S, 151° 55' 6.258"" E",1.8
27-10-25,Shark Bay,12,14.35,"23° 26' 40.674"" S","151° 55' 5.946"" E",6:41,n,maxima,22.7,250,,"23° 26' 40.386"" S, 151° 55' 5.952"" E","23° 26' 41.832"" S, 151° 55' 6.258"" E",1.8
27-10-25,Shark Bay,12,28.15,N/A,N/A,6:48,n,maxima,13.3,39,,"23° 26' 40.386"" S, 151° 55' 5.952"" E","23° 26' 41.832"" S, 151° 55' 6.258"" E",1.8
27-10-25,Shark Bay,12,33,"23° 26' 41.082"" S","151° 55' 6.66"" E",6:49,n,maxima,16.2,160,,"23° 26' 40.386"" S, 151° 55' 5.952"" E","23° 26' 41.832"" S, 151° 55' 6.258"" E",1.8
27-10-25,Shark Bay,12,37.7,"23° 26' 41.478"" S","151° 55' 6.198"" E",6:52,n,maxima,13.9,208,,"23° 26' 40.386"" S, 151° 55' 5.952"" E","23° 26' 41.832"" S, 151° 55' 6.258"" E",1.8
27-10-25,Shark Bay,12,49.8,"23° 26' 41.838"" S","151° 55' 6.006"" E",7:00,n,maxima,14.6,130,,"23° 26' 40.386"" S, 151° 55' 5.952"" E","23° 26' 41.832"" S, 151° 55' 6.258"" E",1.8
27-10-25,Shark Bay,13,0.6,23° 26’ 39.654” S,151° 55’ 6.912” E,6:27,n,maxima,17.3,75,,"Latitude: 23° 26’ 39.486” S
Longitude: 151° 55’ 6.954” E",,2
27-10-25,Shark Bay,13,5.45,23° 26’ 39.708” S,151° 55’ 6.96” E,6:31,n,maxima,12.1,210,,"Latitude: 23° 26’ 39.486” S
Longitude: 151° 55’ 6.954” E",,2
27-10-25,Shark Bay,13,5.5,23° 26’ 39.858” S,151° 55’ 7.188” E,6:31,n,maxima,17.1,100,,"Latitude: 23° 26’ 39.486” S
Longitude: 151° 55’ 6.954” E",,2
27-10-25,Shark Bay,13,17,n/a,N/A,6:36,n,maxima,15.6,160,,"Latitude: 23° 26’ 39.486” S
Longitude: 151° 55’ 6.954” E",,2
27-10-25,Shark Bay,13,16.8,23° 26’ 39.918” S,151° 55’ 6.864” E,6:38,n,maxima,9.4,170,,"Latitude: 23° 26’ 39.486” S
Longitude: 151° 55’ 6.954” E",,2
27-10-25,Shark Bay,13,28,23° 26’ 40.326” S,151° 55’ 7.026” E,6:42,n,maxima,18.5,158,,"Latitude: 23° 26’ 39.486” S
Longitude: 151° 55’ 6.954” E",,2
27-10-25,Shark Bay,13,26.7,n/a,N/A,6:46,n,maxima,17,215,,"Latitude: 23° 26’ 39.486” S
Longitude: 151° 55’ 6.954” E",,2
27-10-25,Shark Bay,13,37.8,23° 26’ 40.566” S,151° 55’ 6.942” E,6:53,n,maxima,8,177,,"Latitude: 23° 26’ 39.486” S
Longitude: 151° 55’ 6.954” E",,2
27-10-25,Shark Bay,13,33.3,N/a,N/A,6:54,n,maxima,19.7,235,,"Latitude: 23° 26’ 39.486” S
Longitude: 151° 55’ 6.954” E",,2
27-10-25,Shark Bay,13,40,N/a,N/A,7:00,n,maxima,15.8,208,,"Latitude: 23° 26’ 39.486” S
Longitude: 151° 55’ 6.954” E",,2
